OBJECTID,LABEL,ALDI,ALFM,ALGS,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSJC,MSSH,TXAY,TXBP,TXFR,TXGA,TXHO,TXMM,TXOC,TXOR,TXSB,TXSR,LULC
43,Evergreen forest land ,14103,5277,55569,173420,107428,47233,18835,158727,15589,138628,0,65975,31536,194825,220826,3710,0,1431,317661,8288,29673,14915,157822,61676,20569,638,3532,39637,71797,11339,274088,79659,20947,20392,58122,199058,20072,142548,154052,18876,1618,201004,15165,31165,13506,6801,20461,11960,66511,0,0,0,3625,121701,0,197,245593,178516,0,0,31480,0,0,7383,54574,11712,93228,0,
44,Mixed forest land ,43062,8443,79455,0,16625,0,0,1067,0,20554,0,0,0,0,0,0,0,0,0,7416,0,0,2828,0,0,0,0,0,0,0,0,40367,0,0,2814,0,0,82666,0,0,0,100227,0,707,0,787,9679,0,0,0,0,0,0,745,0,0,59854,126604,386,0,59901,0,27179,8341,112527,227832,0,0,
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,Streams and canals,1431,0,2458,379,5117,2680,33554,246,508,0,2329,3476,3879,23934,15135,531,0,185,105,4136,4728,0,70825,11526,0,0,0,0,0,12036,10244,1283,2259,0,603,18524,7822,0,19072,4622,0,3692,3094,0,30987,2536,3929,2897,10361,2218,0,0,19703,4969,5813,25844,12135,2356,2583,8329,10386,11539,34884,4833,13199,0,6429,18841,
