OBJECTID,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSSH,TXOC,TXSR
476,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,2,0,91
479,0,0,0,0,0,0,0,1,0,121
480,0,0,0,0,2,0,0,2,0,64
481,0,0,0,0,17,0,0,5,0,26
482,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0
488,0,0,0,0,1,0,0,3,0,0
489,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,1,0,0,0,0,0
491,0,0,0,0,1,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0
494,0,0,0,0,1,0,0,1,0,0
495,0,0,0,0,0,0,0,0,0,0
496,149,324,761,283,691,443,1284,172,0,4587
497,0,0,0,0,34,0,0,5,0,0
498,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0
503,0,1,0,0,4,0,0,0,0,0
504,0,0,0,0,14,0,0,0,0,0
505,0,0,0,0,28,0,0,0,0,0
506,0,0,0,0,433,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,4,0,0,0,0,0
509,0,0,0,0,1,0,0,1,0,0
510,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,1,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0,0,0,0
514,0,0,0,0,2,0,0,1,0,0
515,0,0,0,0,5,0,0,1,0,0
516,0,0,0,0,10,0,0,4,0,0
517,0,0,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0,0,0
519,0,0,0,0,12,6,0,6,0,0
520,0,0,0,0,7,2,14,2,0,0
521,0,18,0,0,3,1,0,15,0,0
522,124449,314227,141970,191074,151850,216603,348429,6894,111,47539
523,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,2,110,41,1,0,0
525,0,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0
534,0,11,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
541,5,0,44,874,55,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0
544,2,7,135,200,0,1137,0,0,0,23
545,0,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,1,0,0,0,0
547,0,8,381,1,36,63,0,21,0,1
548,632,1,187,926,3,1584,51,0,0,28
549,0,0,0,0,0,3,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,1,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0,0,0
569,9,0,258,0,69,34,0,1,0,16
570,0,0,0,0,3,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,0
572,0,0,0,0,44,0,0,3,0,0
573,0,0,0,0,0,0,0,0,0,0
574,449,5278,87,2,96,997,4284,6,0,79
