Abbrev,Name,Count_yr,Min_temp,Max_temp,Min_wind,Max_wind,Wind-Direction,Min_snow,Max_snow,Still Water,Moving Water,AM Cloud,PM Cloud,Am_rain_cond_Names,Pm_rain_cond_Names,Am_snow_cond_Names,Pm_snow_cond_Names
FLFM,Fort Myers,67,51.00,76.00,8.00,15.00,Unknown,0.00,0.00,Unknown,Unknown,Clear,Cloudy,Unknown,Unknown,Unknown,Unknown
FLFP,Fort Pierce,67,64.00,85.00,0.00,8.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLJA,Jacksonville,67,33.00,58.00,5.00,15.00,Northwest,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLKL,Key Largo-Plantation Key,67,68.00,76.00,10.00,15.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLKW,Key West,67,69.00,75.00,7.00,7.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLLK,Lower Keys-Key Deer N.W.R.,67,54.00,68.00,8.00,8.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLNA,Naples,67,50.00,72.00,5.00,8.00,South,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLPE,Pensacola,67,46.00,54.00,14.00,14.00,Southeast,0.00,0.00,Unknown,Unknown,Cloudy,Cloudy,Light,Light,None,None
FLSC,Sanibel-Captiva,67,55.00,80.00,2.00,8.00,,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLSM,St. Marks,67,37.00,55.00,3.00,15.00,East,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLSP,St. Petersburg,67,51.00,72.00,14.00,14.00,Northeast,0.00,0.00,Unknown,Unknown,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLSR,Sarasota,67,40.00,66.00,5.00,8.00,Northeast,0.00,0.00,Unknown,Unknown,Clear,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
FLST,Stuart,67,58.00,74.00,0.00,10.00,Unknown,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
FLWP,West Palm Beach,67,64.00,79.00,9.00,18.00,Southeast,0.00,0.00,Unknown,Unknown,Clear,Clear,Unknown,Unknown,Unknown,Unknown
